fecha,pais,incidencia_7d
2021-10-04,Peru,2.5118672819799808
2021-10-05,Peru,2.519975586152189
2021-10-06,Peru,2.544300498668815
2021-10-07,Peru,2.530644407431411
2021-10-08,Peru,2.5084532591706297
2021-10-09,Peru,2.4687652440119243
2021-10-10,Peru,2.450414871411663
2021-10-11,Peru,2.3223890160610017
2021-10-12,Peru,2.2724589324742435
2021-10-13,Peru,2.287395282265154
2021-10-14,Peru,2.2216753431851477
2021-10-15,Peru,2.160649685467999
2021-10-16,Peru,2.2455735028506045
2021-10-17,Peru,2.2728856853254125
2021-10-18,Peru,2.37957389811763
2021-10-19,Peru,2.4516951299651697
2021-10-20,Peru,2.4410263086859483
2021-10-21,Peru,2.4819945823981593
2021-10-22,Peru,2.5430202401153084
2021-10-23,Peru,2.441453061537117
2021-10-24,Peru,2.467058232607249
2021-10-25,Peru,2.533204924538424
2021-10-26,Peru,2.4965041793379013
2021-10-27,Peru,2.502051966403097
2021-10-28,Peru,2.509733517724136
2021-10-29,Peru,2.4892493808680305
2021-10-30,Peru,2.537899205901282
2021-10-31,Peru,2.4512683771140007
2021-11-01,Peru,2.47815380673764
2021-11-02,Peru,2.533631677389593
2021-11-03,Peru,2.530644407431411
2021-11-04,Peru,2.3979242707178914
2021-11-05,Peru,2.249841031362293
2021-11-06,Peru,2.2993443620978824
2021-11-07,Peru,2.394083495057372
2021-11-08,Peru,2.410300103401789
2021-11-09,Peru,2.4384657915789347
2021-11-10,Peru,2.432918004513739
2021-11-11,Peru,2.6544027342703838
2021-11-12,Peru,2.9100276921205386
2021-11-13,Peru,2.9625182928143095
2021-11-14,Peru,2.9992190380148327
2021-11-15,Peru,2.9838559353727527
2021-11-16,Peru,3.0013528022706772
2021-11-17,Peru,3.1933915852966694
2021-11-18,Peru,3.388844391132013
2021-11-19,Peru,3.4451757674863037
2021-11-20,Peru,3.5211377749943624
2021-11-21,Peru,3.6871446340990537
2021-11-22,Peru,3.982030854256745
2021-11-23,Peru,4.182604694306114
2021-11-24,Peru,4.1582797817894885
2021-11-25,Peru,4.192420009882999
2021-11-26,Peru,4.2717960402004085
2021-11-27,Peru,4.32044586523366
2021-11-28,Peru,4.276490321563267
2021-11-29,Peru,4.212050641036766
2021-11-30,Peru,4.152731994724293
2021-12-01,Peru,4.204795842566896
2021-12-02,Peru,4.137368892082215
2021-12-03,Peru,4.109629956756238
2021-12-04,Peru,4.1309675993146815
2021-12-05,Peru,4.89528195575813
2021-12-06,Peru,4.223572968018327
2021-12-07,Peru,3.985871629917265
2021-12-08,Peru,4.342637013494442
2021-12-09,Peru,4.3878728157183415
2021-12-10,Peru,4.525713986645887
2021-12-11,Peru,4.374216724480938
2021-12-12,Peru,3.5766156456463163
2021-12-13,Peru,4.352879081922494
2021-12-14,Peru,4.676357743108499
2021-12-15,Peru,4.340930002089766
2021-12-16,Peru,4.337089226429247
2021-12-17,Peru,4.2713692873492395
2021-12-18,Peru,4.484745712933676
2021-12-19,Peru,4.632828952289274
2021-12-20,Peru,4.6486188077825235
2021-12-21,Peru,4.671663461745642
2021-12-22,Peru,4.64605829067551
2021-12-23,Peru,4.659714381912914
2021-12-24,Peru,4.711778229755516
2021-12-25,Peru,4.8517531649389065
2021-12-26,Peru,4.69513486855993
2021-12-27,Peru,6.430311961412563
2021-12-28,Peru,5.965578106489661
2021-12-29,Peru,6.468292965166592
2021-12-30,Peru,6.725198181570254
2021-12-31,Peru,7.68027106248619
2022-01-01,Peru,8.835917783451494
2022-01-02,Peru,10.219023774089809
2022-01-03,Peru,9.546461280647666
2022-01-04,Peru,9.977054907477058
2022-01-05,Peru,9.948462466448744
2022-01-06,Peru,11.258593719537183
2022-01-07,Peru,13.250249275942307
2022-01-08,Peru,15.987442063339449
2022-01-09,Peru,19.510713602589654
2022-01-10,Peru,24.54170296501949
2022-01-11,Peru,31.210569770235452
2022-01-12,Peru,35.68293965048523
2022-01-13,Peru,43.83647962491769
2022-01-14,Peru,51.98105778947562
